,mean,std,sharpe,max_drawdown,mean_corr_with_cryus
prediction_target_victor_v4_20,0.018402134158705116,0.018678634878437204,0.9851969524790442,0.04599835083482828,0.8289496852289098
prediction_target_ralph_v4_20,0.018311918680016536,0.019790843332412128,0.9252722773074805,0.047267852224695206,0.8804634093415813
prediction_target_jerome_v4_20,0.013374135906302587,0.019882254005729755,0.6726669874777965,0.06191009668565994,0.7752366513490556
prediction_target_paul_v4_20,0.005010790103912664,0.010629342994833174,0.4714110840480322,0.03762554184214717,0.7550947124624902
prediction_target_william_v4_20,0.014387873751070144,0.02043453500306116,0.7040959703225346,0.05183457326773555,0.8330362673312293
prediction_target_cyrus_v4_20,0.019077934530577764,0.02070452771329086,0.9214378031106241,0.050978282972050426,1.0
prediction_target_caroline_v4_20,0.018787650300186955,0.020537801439219926,0.9147839098448579,0.052778908333754426,0.9278681599401746
prediction_target_sam_v4_20,0.01881913951950952,0.02061628010585039,0.9128290565944103,0.0642682264284069,0.9097813262277353
prediction_target_xerxes_v4_20,0.018173754126542856,0.021039693121240627,0.8637841826787644,0.05491523735791981,0.9409597318418513
prediction_target_jeremy_v4_20,0.013367166037747104,0.02002936725286758,0.667378348451489,0.06752733278178058,0.7792392669787632
